process,temp,supply,control,corner name,bgr_tran_02_sat_check,bgr_tran_13_sat_check,bgr_tran_14_sat_check,bgr_tran_15_sat_check,bgr_tran_16_sat_check,bgr_tran_17_sat_check,bgr_tran_18_sat_check,bgr_tran_19_sat_check,bgr_tran_20_sat_check,bgr_tran_21_sat_check,bgr_tran_22_sat_check,bgr_tran_23_sat_check,bgr_tran_24_sat_check,gmn (mS),gmp (mS),I_left (mA),I_right (mA),I_tail (mA),nmos_sat_check,pmos_sat_check,tail_sat_check,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,125,0.9,0.7,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,2.801912,True,2.446154,
ff,125,0.9,0.8,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,2.864602,True,2.476742,
ff,125,0.9,0.9,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,2.92071,True,2.506489,
ff,125,0.9,1.0,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,2.96646,True,2.534489,
ff,125,0.9,1.1,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,3.001154,True,2.557745,
ff,125,0.9,1.2,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,3.025676,True,2.574681,
ff,125,0.9,1.3,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,3.041588,True,2.584676,
ff,125,0.9,1.4,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,3.050742,True,2.590327,
ff,125,0.9,1.5,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,3.055626,True,2.593243,
ff,125,0.9,1.6,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,3.058024,True,2.595462,
ff,125,0.9,1.7,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,3.059168,True,2.59538,
ff,125,0.9,1.8,"ff,125,0.9",True,True,True,True,True,True,True,True,True,True,True,True,True,1.391038e+01,9.453483e+00,1.117937e+00,1.117937e+00,2.235874e+00,True,True,True,5.1588,7.197906e-01,7.197906e-01,3.059702,True,2.595807,
ff,125,1.0,0.0,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,2.776,True,2.195168,
ff,125,1.0,0.1,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,2.754108,True,2.22167,
ff,125,1.0,0.2,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,2.736532,True,2.254021,
ff,125,1.0,0.3,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,2.728682,True,2.289323,
ff,125,1.0,0.4,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,2.736788,True,2.326668,
ff,125,1.0,0.5,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,2.767338,True,2.361138,
ff,125,1.0,0.6,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,2.819668,True,2.392608,
ff,125,1.0,0.7,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,2.888394,True,2.420678,
ff,125,1.0,0.8,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,2.963644,True,2.448183,
ff,125,1.0,0.9,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,3.037042,True,2.474348,
ff,125,1.0,1.0,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,3.10339,True,2.499622,
ff,125,1.0,1.1,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,3.159442,True,2.522926,
ff,125,1.0,1.2,"ff,125,1.0",True,True,True,True,True,True,True,True,True,True,True,True,True,1.457782e+01,9.886149e+00,1.188962e+00,1.188962e+00,2.377924e+00,True,True,True,5.445,7.244904e-01,7.244904e-01,3.203442,True,2.54189,
