 time       v(up)      v(dn)      v(FB)      v(REF)    
 2.763e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.773e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.783e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.793e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.803e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.813e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.823e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.833e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.843e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.853e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.863e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.873e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.883e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.893e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.903e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.913e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.923e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.933e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.943e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.953e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.963e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.973e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.983e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.993e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.003e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.013e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.023e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.033e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.043e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.053e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.063e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.073e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.083e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.093e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.103e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.113e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.123e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.133e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.143e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.153e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.163e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.173e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.183e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.193e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.203e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.213e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.223e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.233e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.243e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.253e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.263e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.273e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.283e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.293e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.303e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.313e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.323e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.333e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.343e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.353e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.363e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.373e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.383e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.393e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.403e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.413e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.423e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.433e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.443e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.453e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.463e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.473e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.483e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.493e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.503e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.513e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.523e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.533e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.543e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.553e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.563e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.573e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.583e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.593e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.603e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.613e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.623e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.633e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.643e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.653e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.663e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
