process,temp,supply,control,corner name,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,27,1.1,0.5,"ff,27,1.1",4.8348,7.609948e-01,7.610792e-01,2.786224,True,2.434435,
ff,27,1.1,0.6,"ff,27,1.1",-12.421800000000001,9.641326e-01,2.500213e-01,2.836526,True,2.46592,
ff,27,1.1,0.7,"ff,27,1.1",4.8402,7.609546e-01,7.609734e-01,2.894764,True,2.495323,
ff,27,1.1,0.8,"ff,27,1.1",4.8438,7.610208e-01,7.610359e-01,2.95365,True,2.524844,
ff,27,1.1,0.9,"ff,27,1.1",4.7898000000000005,7.604274e-01,7.604358e-01,3.00772,True,2.552399,
ff,27,1.1,1.0,"ff,27,1.1",4.870800000000001,7.614311e-01,7.614150e-01,3.053714,True,2.577514,
ff,27,1.1,1.1,"ff,27,1.1",4.8258,7.607165e-01,7.607091e-01,3.089098,True,2.596617,
ff,27,1.1,1.2,"ff,27,1.1",4.842,7.610109e-01,7.609875e-01,3.112536,True,2.608607,
ff,27,1.1,1.3,"ff,27,1.1",4.8384,7.609865e-01,7.610059e-01,3.125296,True,2.613699,
ff,27,1.1,1.4,"ff,27,1.1",4.832999999999999,7.611420e-01,7.611333e-01,3.131064,True,2.616281,
ff,27,1.1,1.5,"ff,27,1.1",231.318,2.000229e-01,1.025437e+00,3.133378,True,2.617807,
ff,27,1.1,1.6,"ff,27,1.1",-170.73360000000002,2.451811e-01,9.954896e-01,3.13429,True,2.61826,
ff,27,1.1,1.7,"ff,27,1.1",130.3722,2.050107e-02,1.501743e+00,3.134636,True,2.61782,
ff,27,1.1,1.8,"ff,27,1.1",-166.1832,4.887758e-02,1.162765e+00,3.134788,True,2.61829,
fs,-40,0.9,0.0,"fs,-40,0.9",1247.5278,1.337667e+00,2.464137e-02,2.81268,True,2.325691,
fs,-40,0.9,0.1,"fs,-40,0.9",318.2364,-2.94963e-02,1.324340e+00,2.804396,True,2.364988,
fs,-40,0.9,0.2,"fs,-40,0.9",4752.738000000001,-2.21716e-02,1.161503e+00,2.798356,True,2.40548,
fs,-40,0.9,0.3,"fs,-40,0.9",-2066.1857999999997,1.234218e+00,-5.94557e-02,2.799612,True,2.448275,
fs,-40,0.9,0.4,"fs,-40,0.9",-64700.909999999996,1.168728e+00,-2.68352e-03,2.815026,True,2.486953,
fs,-40,0.9,0.5,"fs,-40,0.9",2.6603999999999997,7.914090e-01,7.913915e-01,2.843498,True,2.521302,
fs,-40,0.9,0.6,"fs,-40,0.9",84.8232,1.300666e+00,8.324967e-02,2.890482,True,2.552486,
fs,-40,0.9,0.7,"fs,-40,0.9",2.628,7.913948e-01,7.914127e-01,2.939076,True,2.582457,
fs,-40,0.9,0.8,"fs,-40,0.9",104.8518,3.664765e-01,9.027307e-01,2.982738,True,2.611874,
fs,-40,0.9,0.9,"fs,-40,0.9",38.9484,9.045912e-01,3.415621e-01,3.01952,True,2.637826,
fs,-40,0.9,1.0,"fs,-40,0.9",-2791.0602,2.338648e-01,1.017460e+00,3.046566,True,2.655224,
fs,-40,0.9,1.1,"fs,-40,0.9",38.322,1.073685e+00,1.780725e-01,3.060694,True,2.664637,
fs,-40,0.9,1.2,"fs,-40,0.9",2.6064,7.913575e-01,7.913589e-01,3.066492,True,2.667417,
fs,-40,0.9,1.3,"fs,-40,0.9",2.7198,7.914408e-01,7.914436e-01,3.069334,True,2.668575,
fs,-40,0.9,1.4,"fs,-40,0.9",-44.6238,3.600467e-01,8.994144e-01,3.070074,True,2.669134,
fs,-40,0.9,1.5,"fs,-40,0.9",-118.38060000000002,1.112954e+00,1.731901e-01,3.070006,True,2.668801,
fs,-40,0.9,1.6,"fs,-40,0.9",2.6442,7.913639e-01,7.913887e-01,3.069202,True,2.668837,
fs,-40,0.9,1.7,"fs,-40,0.9",51.956999999999994,9.675817e-02,1.262396e+00,3.069386,True,2.669099,
fs,-40,0.9,1.8,"fs,-40,0.9",-8.64,1.271022e+00,9.290014e-02,3.069454,True,2.669099,
fs,-40,1.0,0.0,"fs,-40,1.0",-378.5688,1.250819e+00,-6.39645e-02,2.860842,True,2.312459,
fs,-40,1.0,0.1,"fs,-40,1.0",408.546,9.454211e-01,3.861855e-01,2.850292,True,2.349072,
fs,-40,1.0,0.2,"fs,-40,1.0",321.6816,1.215259e-02,1.360168e+00,2.84176,True,2.390242,
fs,-40,1.0,0.3,"fs,-40,1.0",2.3562000000000003,7.246333e-01,7.729159e-01,2.84488,True,2.429751,
fs,-40,1.0,0.4,"fs,-40,1.0",131.87699999999998,1.003897e+00,2.363762e-01,2.859974,True,2.467875,
fs,-40,1.0,0.5,"fs,-40,1.0",750.9366,1.357358e+00,5.600541e-02,2.895656,True,2.500186,
fs,-40,1.0,0.6,"fs,-40,1.0",-1940.8878,7.633689e-01,6.250090e-01,2.944204,True,2.528887,
fs,-40,1.0,0.7,"fs,-40,1.0",4.266000000000001,8.249356e-01,8.249238e-01,2.997758,True,2.556414,
fs,-40,1.0,0.8,"fs,-40,1.0",4.3218,8.248552e-01,8.248596e-01,3.050086,True,2.583398,
fs,-40,1.0,0.9,"fs,-40,1.0",4.3128,8.249025e-01,8.249211e-01,3.09699,True,2.607844,
fs,-40,1.0,1.0,"fs,-40,1.0",-336.04200000000003,4.415530e-01,8.300231e-01,3.134244,True,2.626456,
fs,-40,1.0,1.1,"fs,-40,1.0",4.2912,8.249697e-01,8.248963e-01,3.157868,True,2.63789,
fs,-40,1.0,1.2,"fs,-40,1.0",3.7728000000000006,8.562141e-01,4.145496e-01,3.169564,True,2.642369,
fs,-40,1.0,1.3,"fs,-40,1.0",13.2498,3.957638e-01,8.912985e-01,3.17373,True,2.644255,
fs,-40,1.0,1.4,"fs,-40,1.0",-35.9154,8.631170e-01,4.148021e-01,3.175006,True,2.644757,
fs,-40,1.0,1.5,"fs,-40,1.0",4.2876,8.258951e-01,8.239208e-01,3.175398,True,2.644939,
fs,-40,1.0,1.6,"fs,-40,1.0",22.195800000000002,1.120843e+00,1.741543e-01,3.175528,True,2.644958,
fs,-40,1.0,1.7,"fs,-40,1.0",4.2948,8.249105e-01,8.249821e-01,3.175578,True,2.644748,
fs,-40,1.0,1.8,"fs,-40,1.0",29.0502,1.273665e+00,3.712228e-02,3.175602,True,2.645009,
fs,-40,1.1,0.0,"fs,-40,1.1",4.5935999999999995,8.301794e-01,8.301836e-01,2.90332,True,2.301832,
fs,-40,1.1,0.1,"fs,-40,1.1",-411.35580000000004,-2.47216e-02,1.425054e+00,2.89333,True,2.338086,
fs,-40,1.1,0.2,"fs,-40,1.1",4.6188,8.298913e-01,8.298778e-01,2.887928,True,2.376033,
fs,-40,1.1,0.3,"fs,-40,1.1",36.5112,1.098958e+00,2.805423e-01,2.887188,True,2.416296,
fs,-40,1.1,0.4,"fs,-40,1.1",4.622400000000001,8.297476e-01,8.297438e-01,2.901316,True,2.452858,
fs,-40,1.1,0.5,"fs,-40,1.1",998.586,1.367641e+00,-7.32646e-02,2.937456,True,2.483699,
fs,-40,1.1,0.6,"fs,-40,1.1",4.6206,8.298779e-01,8.299348e-01,2.986474,True,2.51138,
fs,-40,1.1,0.7,"fs,-40,1.1",-796.5702,1.455975e+00,1.328955e-02,3.042764,True,2.537673,
fs,-40,1.1,0.8,"fs,-40,1.1",-26011.476000000002,-6.91003e-02,1.463979e+00,3.097468,True,2.5638,
fs,-40,1.1,0.9,"fs,-40,1.1",4.6206,8.298890e-01,8.298755e-01,3.147876,True,2.588521,
fs,-40,1.1,1.0,"fs,-40,1.1",4.6278,8.299075e-01,8.299450e-01,3.189662,True,2.608488,
fs,-40,1.1,1.1,"fs,-40,1.1",7.727399999999999,1.469856e+00,-5.01323e-02,3.21914,True,2.621317,
fs,-40,1.1,1.2,"fs,-40,1.1",4.6062,8.299459e-01,8.299266e-01,3.235018,True,2.627513,
fs,-40,1.1,1.3,"fs,-40,1.1",4.6134,8.298084e-01,8.298105e-01,3.241182,True,2.629784,
fs,-40,1.1,1.4,"fs,-40,1.1",4.6044,8.299052e-01,8.298940e-01,3.243082,True,2.63024,
fs,-40,1.1,1.5,"fs,-40,1.1",34.005599999999994,8.397499e-02,1.159751e+00,3.24361,True,2.630669,
fs,-40,1.1,1.6,"fs,-40,1.1",4.6098,8.298571e-01,8.299192e-01,3.243846,True,2.630404,
fs,-40,1.1,1.7,"fs,-40,1.1",327.2886,6.299299e-01,6.341592e-01,3.24385,True,2.630352,
fs,-40,1.1,1.8,"fs,-40,1.1",4.6188,8.299035e-01,8.299141e-01,3.243944,True,2.630822,
fs,125,0.9,0.0,"fs,125,0.9",-5.319000000000001,5.876023e-01,7.457718e-01,2.63296,True,2.280516,
fs,125,0.9,0.1,"fs,125,0.9",27.144000000000002,2.872025e-02,1.247348e+00,2.623462,True,2.311836,
